
RANKING : OFFICIAL - 2006/2007
fie
Event : S

Weapon : E

Gender : F

09.09.06 Arhus (SA)	15.10.06 Turku (SA)	28.10.06 Copenhague (SA)	11.11.06 Oslo (SA)	25.11.06 Belgrade (SA)	19.01.07 Budapest (GP)	27.01.07 Prague (A)	09.02.07 Rome (GP)	10.02.07 Stockholm (SA)	16.02.07 Barcelone (GP)	24.02.07 Saint-Maur (A)	03.03.07 Tauberbischofsheim (A)	10.03.07 Edinburgh (SA)	10.03.07 St-Petersbourg (A)	17.03.07 Florina (A)	24.03.07 Luxembourg (A)	05.05.07 Split (SA)	18.05.07 Nankin (GP)	26.05.07 Sydney (A)	01.06.07 Montréal (GP)	08.06.07 La Havane (A)	23.06.07 Newcastle (SA)	02.07.07 Gand (CHZ)	12.07.07 Alger (CHZ)	22.08.07 Nantong (CHZ)	27.08.07 Montreal (CHZ)	22.09.07 Istanbul (SA)	30.09.07 St-Petersbourg (CHM)	Total
112	IKEHATA Shizuka	JPN								(0.00)		4.00	2.00	2.00			2.00	(2.00)		4.00	(2.00)	(0.00)	(0.00)				4.00			0.00	18.00
113	WESTMAN Nina	SWE									2.00							0.00							8.00					6.00	16.00
114	HUANG Shih-Ya	RSA																								16.00				0.00	16.00
115	SOUDANI Chahira	ALG																				0.00				16.00					16.00
116	MARTINEZ Yolitzin	MEX																				0.00	0.00					16.00		0.00	16.00
117	BRUZOLA Michelle	PHI																									16.00				16.00
118	MELENDEZ Alexandra	PUR												0.00		0.00												16.00			16.00
119	MAISONET Olimar	PUR																										16.00			16.00
120	JACKSON Jennifer	NZL																		0.00	0.00	0.00	0.00				16.00				16.00
121	GHERMAN Simona	ROU						8.00	4.00	0.00				4.00			2.00														16.00
122	WANG Hye Young	KOR																		8.00	4.00	4.00									16.00
123	SIDIROPOULOU-CHRISTODOULOU Niki-Katerina	GRE						0.00	0.00					0.00			2.00					0.00			8.00					6.00	16.00
124	PANUSCHKA Claudia	AUT						0.00	0.00	0.00		(0.00)		(0.00)			2.00	2.00		(0.00)		(0.00)	(0.00)		0.00					12.00	16.00
125	BERGDAHL Johanna	SWE									2.00							8.00				0.00			4.00					0.00	14.00
126	JIMENEZ Camila	ITA							2.00	4.00			8.00	0.00				0.00													14.00
127	DANINTHE Sarah	FRA						4.00		(0.00)		4.00	4.00			4.00		4.00		(0.00)	(2.00)	(0.00)	(0.00)								14.00
128	MOULIN Marie-Maud	FRA							2.00			4.00	2.00	(2.00)		4.00		(0.00)			4.00		(0.00)								14.00
129	LARSSON Sofie	SWE				0.00				0.00		0.00						2.00				4.00			8.00					0.00	14.00
130	ZLINSKA Martina	CZE						8.00	0.00	0.00			2.00	(0.00)				0.00		(0.00)					4.00					0.00	14.00
131	MAYNARD Johanna	GBR						0.00	0.00	(0.00)		0.00					8.00	0.00							4.00					0.00	12.00
132	TEREBA-ZAWROTNIAK Beata	POL						(0.00)	2.00	4.00		4.00	4.00	2.00		(2.00)	(2.00)	(0.00)		(0.00)											12.00
133	SOIRON Melanie	FRA						4.00		(0.00)		4.00	4.00			2.00		4.00			(0.00)		(0.00)								12.00
134	HOLZ Kathrin	GER						0.00	4.00			4.00		4.00		2.00		(0.00)													12.00
135	TAKACS Emese	BRA						4.00	4.00	4.00				2.00																	12.00
136	CHENG Yuk Han Bjork	HKG																		0.00	0.00	4.00					8.00				12.00
137	DIMITROVA Tatyana	BUL					3.00		0.00	4.00				2.00			2.00								4.00					0.00	12.00
138	FABIAN Borbala	FIN		4.00				0.00	0.00		1.00	(0.00)		(0.00)		2.00		(0.00)							4.00					0.00	10.00
139	VISNJIC Svetlana	SRB					1.00							0.00			4.00		2.00						4.00					0.00	10.00
140	COMETTI Sara Cristina	ITA							2.00	0.00			8.00									0.00	0.00								10.00
141	LE MAILLER Claire	FRA							0.00				8.00	0.00		2.00															10.00
142	ROHI Heidi	EST																		0.00	2.00	8.00									10.00
143	HOFFMANN Monika	GER							0.00			0.00		4.00		2.00		4.00													10.00
144	CAMPBELL Lindsay	USA							4.00			(0.00)	2.00								2.00	0.00	2.00								10.00
145	QIN Lanlan	CHN						0.00	2.00	4.00		0.00								4.00											10.00
146	HUI Pik Hung	HKG								0.00		0.00	2.00							0.00	(0.00)	4.00					4.00			0.00	10.00
147	DOLAR Kaja	SLO						0.00	0.00			0.00	2.00	2.00				(0.00)												6.00	10.00
148	MIRANDA Ana	POR										4.00						2.00				0.00			4.00						10.00
149	HAMALAINEN Hilla	FIN		2.00				0.00	0.00		3.00		(0.00)	2.00		(0.00)		(0.00)							4.00					0.00	9.00
150	CARAN Romana	SRB					2.00												1.00											6.00	9.00
151	SADOWY Katarzyna	POL							8.00																						8.00
152	CHEN Yinhua	TPE																		0.00							8.00				8.00
153	RAGUIN Harlene	PHI																									8.00				8.00
154	HA Thi Sen	VIE																									8.00			0.00	8.00
155	CHANG Chialing	TPE																		0.00							8.00				8.00
156	SUN Yujie	CHN																		8.00											8.00
157	RINALDI Silvia	ITA								4.00				4.00																	8.00
158	SCHIERONI Laura	ITA				1.00			2.00	(0.00)			4.00	(0.00)			2.00	0.00													8.00
159	KOSTINA Tatiana	KGZ																									8.00			0.00	8.00
160	GALVEZ Ma. Del Carmen Elvira	PHI																									8.00				8.00
161	SIR IDAR Isnawaty	INA																			0.00						8.00				8.00
162	RAINERO Elena	ITA							(0.00)	(0.00)			4.00	2.00		2.00		2.00						4.00							8.00
163	YUNUSBAYEVA Jamilya	KAZ																									8.00			0.00	8.00
164	YIN Mingfang	CHN																		8.00											8.00
165	ABIEVA Mergul	KGZ																									8.00			0.00	8.00
166	CHRISTMANN Beate	GER						8.00																							8.00
166	CAO Yulian	CHN																		8.00											8.00
168	TRAN Thi Len	VIE																									8.00				8.00
169	HSU Jo-Ting	TPE																		0.00							8.00				8.00
170	SADYKOVA Ardak	KAZ																									8.00				8.00
170	WANG Ling	CHN																		8.00											8.00
172	KOHV Anna	EST				0.00			2.00	0.00		4.00				2.00															8.00
173	VANHUYSSE Genevieve	BEL											2.00					2.00							4.00						8.00
174	STEFFLOVA Tereza	CZE						0.00	0.00	0.00			2.00	2.00				(0.00)		(0.00)					4.00					0.00	8.00
175	MALUKA Jelena	LAT														2.00														6.00	8.00
176	TAKEYAMA Yoshie	JPN							0.00	0.00		4.00	(0.00)							(0.00)	2.00	(0.00)	2.00								8.00
177	CABRAL Ana	POR										4.00					2.00	2.00				0.00			0.00						8.00
178	SMUTNA Tereza	CZE						0.00	2.00	(0.00)			2.00	(0.00)				0.00		4.00					0.00					0.00	8.00
179	POKORNY Barbara	AUT						4.00	0.00	0.00				0.00				(0.00)				0.00	(0.00)		4.00					0.00	8.00
180	GOLLESCH-GARLI Karin	AUT						0.00	0.00	(0.00)		0.00		2.00				0.00							0.00					6.00	8.00
181	KISKAPUSI Dora	ESP						4.00		4.00				0.00																	8.00
182	KOIT Marika	EST		3.00	2.00	0.00		0.00	(0.00)	(0.00)		4.00				(0.00)		(0.00)													7.00
183	OLEINIK Julia	EST				0.00		0.00	2.00		4.00					0.00															6.00
184	RODIC-STAMENKOVIC Smiljka	SRB					4.00	0.00	0.00				(0.00)	(0.00)		(0.00)	2.00		1.00						0.00					0.00	6.00
185	DOS SANTOS Estelle	BRA						(0.00)	0.00	0.00		0.00	4.00	(0.00)		(0.00)		(0.00)		(0.00)	2.00	(0.00)	(0.00)					0.00		0.00	6.00
186	DEL-CAMPO Lara	ESP										0.00		2.00				0.00				0.00	4.00								6.00
187	WILLIAMS Naraye	USA							4.00				2.00					0.00				0.00	0.00								6.00
188	CHOURUPINA Ekaterina	RUS							2.00			0.00		0.00		4.00															6.00
189	REYZLINA Olena	UKR						4.00						0.00		2.00				0.00		0.00									6.00
190	GENEVIEVE Lynda	FRA							0.00				2.00	2.00		2.00															6.00
191	GUZZI Margherita	ITA																	4.00					1.00							5.00
192	ISAKSSON Annika	SWE	3.00	1.00	2.00	0.00				0.00																					5.00
193	HANSSON Ulrika	SWE	4.00			0.00																									4.00
194	GUNAC Gokce	TUR																											4.00	0.00	4.00
195	BERTINETTI Diana	ITA			4.00				0.00	0.00																					4.00
196	LOMAS Megan Elisabeth	GBR							0.00			0.00			3.00									1.00							4.00
197	LEHTONEN Suvi	FIN		2.00					0.00		1.00					2.00		0.00							0.00					0.00	4.00
198	ILIC Danijela	SRB					2.00	0.00					2.00				0.00		0.00						0.00						4.00
199	MOERCH Margrete	NOR				0.00												0.00							4.00					0.00	4.00
200	FEYTIE Melanie	FRA											4.00	0.00																	4.00
201	ANDREEVA Larisa	KGZ														4.00															4.00
202	PASHALIDOU Eleni	GRE							0.00								4.00														4.00
203	DE LEOTARD Marion	FRA											4.00																		4.00
204	ZVEREVA Yana	RUS														4.00															4.00
205	MOINECOURT Perrine	FRA							0.00				4.00	0.00																	4.00
